Iteration	Posterior	Likelihood	Prior	clado_event_probs[1]	clado_event_probs[2]	clock_bg	er_base	ldd	p_allopatry	p_sympatry
0	-1302.274	-244.9488	-1057.325	0.15	0.85	0.01	0.01	0.1	0.85	0.15
10	-379.8007	-217.1145	-162.6863	0.134387	0.865613	0.003764385	0.1727294	0.4247844	0.8656133	0.1343867
20	-230.8084	-214.2289	-16.57953	0.178161	0.821839	0.007222562	0.8032771	0.4951819	0.821839	0.178161
30	-220.6066	-214.5602	-6.046379	0.00447852	0.995521	0.008762377	1.234979	0.2324929	0.9955215	0.004478518
40	-218.1584	-208.1396	-10.01879	0.163209	0.836791	0.009442786	1.229866	0.2628454	0.8367911	0.1632089
50	-226.6327	-216.5862	-10.0465	0.158404	0.841596	0.005465906	1.235072	0.2825171	0.8415963	0.1584037
60	-219.4927	-211.0332	-8.459565	0.348173	0.651827	0.006744048	1.013187	0.2829522	0.6518268	0.3481732
70	-221.8033	-211.2087	-10.59463	0.138697	0.861303	0.007568799	0.9669174	0.3844799	0.8613031	0.1386969
80	-227.3521	-216.4849	-10.86713	0.0757241	0.924276	0.005258591	1.026281	0.4198277	0.9242759	0.07572413
90	-211.3728	-204.5538	-6.819047	0.000179077	0.999821	0.007875277	1.318754	0.3130707	0.9998209	0.0001790775
100	-212.1031	-204.9092	-7.193891	0.000179077	0.999821	0.01015723	1.168201	0.4118262	0.9998209	0.0001790775
110	-220.2169	-209.7725	-10.44435	0.0503401	0.94966	0.01359241	1.265668	0.2800353	0.9496599	0.05034009
120	-217.7138	-206.7463	-10.96749	0.113855	0.886145	0.01043345	1.141587	0.356409	0.8861448	0.1138552
130	-207.3519	-198.8464	-8.505519	0.0450339	0.954966	0.006899522	1.096038	0.3321383	0.9549661	0.04503392
140	-222.6571	-211.3457	-11.31139	0.223531	0.776469	0.008028884	1.022127	0.3902535	0.7764688	0.2235312
150	-221.3018	-208.079	-13.22281	0.106361	0.893639	0.006290854	1.246582	0.3941577	0.8936386	0.1063614
160	-225.2991	-214.1563	-11.14276	0.0175806	0.982419	0.006906381	1.186885	0.4094343	0.9824194	0.01758065
170	-218.5909	-205.3992	-13.1917	0.259104	0.740896	0.008593044	1.202734	0.3822915	0.7408959	0.2591041
180	-229.7301	-211.4615	-18.2686	0.0369632	0.963037	0.008113114	1.414306	0.4543584	0.9630368	0.03696324
190	-217.7883	-209.0822	-8.706027	0.188321	0.811679	0.006974016	0.9786625	0.3130034	0.8116794	0.1883206
200	-232.0294	-222.5405	-9.488886	0.13837	0.86163	0.004779533	1.077667	0.3498775	0.8616297	0.1383703
210	-214.7286	-203.8392	-10.88938	0.0863147	0.913685	0.005399414	1.100273	0.3995007	0.9136853	0.08631465
220	-212.9749	-203.5744	-9.400503	0.0419546	0.958045	0.0081387	1.066767	0.3682467	0.9580454	0.04195463
230	-222.9702	-208.8535	-14.11662	0.176286	0.823714	0.008049747	1.309501	0.3581339	0.8237137	0.1762863
240	-224.3468	-219.0421	-5.304672	0.0318084	0.968192	0.01007305	1.100613	0.202906	0.9681916	0.03180837
250	-210.5224	-195.2988	-15.22367	0.0871702	0.91283	0.007382792	1.326283	0.4058995	0.9128298	0.08717023
260	-222.7359	-212.7091	-10.02682	0.0720708	0.927929	0.006560527	1.01645	0.3887992	0.9279292	0.07207076
270	-218.1057	-205.3988	-12.70694	0.155075	0.844925	0.004672744	1.120719	0.4369428	0.8449248	0.1550752
280	-204.425	-194.2018	-10.22323	0.0794873	0.920513	0.007271751	0.9881532	0.3905446	0.9205127	0.07948727
290	-217.2119	-203.5984	-13.61349	0.168254	0.831746	0.00816744	1.226675	0.3968148	0.831746	0.168254
300	-216.6921	-206.0376	-10.65457	0.0225417	0.977458	0.007132241	1.098212	0.421868	0.9774583	0.02254166
310	-218.3002	-207.2691	-11.0311	0.170317	0.829683	0.005750071	1.124021	0.3737275	0.8296835	0.1703165
320	-216.5765	-202.2121	-14.36449	0.0101229	0.989877	0.005925941	1.120808	0.5413445	0.9898771	0.01012287
330	-223.2966	-212.8991	-10.3975	0.124331	0.875669	0.006771185	0.9722602	0.3851785	0.8756688	0.1243312
340	-206.7683	-199.6347	-7.133655	0.00488725	0.995113	0.006988214	1.020742	0.3707405	0.9951128	0.004887246
350	-211.3106	-197.3937	-13.91696	0.08905	0.91095	0.006563455	1.071066	0.4895216	0.91095	0.08904997
360	-222.9404	-214.1648	-8.775631	0.270366	0.729634	0.00851195	1.073355	0.2822778	0.7296339	0.2703661
370	-211.3455	-201.1251	-10.22037	0.0936794	0.906321	0.008521291	1.141446	0.3437208	0.9063206	0.09367943
380	-222.3018	-211.2082	-11.09354	0.0409407	0.959059	0.006748636	1.047941	0.4326943	0.9590593	0.04094066
390	-222.2548	-215.7516	-6.503129	0.00827429	0.991726	0.01009006	1.00038	0.3213841	0.9917257	0.008274289
400	-217.7136	-205.8732	-11.84043	0.145071	0.854929	0.008304403	1.050949	0.4138234	0.8549289	0.1450711
410	-220.0282	-212.5397	-7.488496	0.167281	0.832719	0.007152753	1.055969	0.2607216	0.8327188	0.1672812
420	-223.2004	-213.5275	-9.672957	0.0511196	0.94888	0.006455274	1.070494	0.3781646	0.9488804	0.05111958
430	-211.1472	-198.7638	-12.38343	0.0303484	0.969652	0.005964551	1.333752	0.3447215	0.9696516	0.03034842
440	-210.8918	-206.962	-3.929872	2.71574e-05	0.999973	0.007270087	1.085529	0.4039679	0.9999728	2.715737e-05
450	-202.3052	-195.4958	-6.809397	2.71574e-05	0.999973	0.006529334	1.148122	0.4719577	0.9999728	2.715737e-05
460	-211.2441	-205.7277	-5.51636	2.71574e-05	0.999973	0.008545788	1.271802	0.359127	0.9999728	2.715737e-05
470	-211.0783	-210.9246	-0.1536888	2.71574e-05	0.999973	0.008936705	1.070359	0.2682861	0.9999728	2.715737e-05
480	-215.6843	-213.95	-1.734266	2.71574e-05	0.999973	0.007246624	1.080581	0.3319001	0.9999728	2.715737e-05
490	-227.1083	-213.5998	-13.50852	0.142658	0.857342	0.01029155	1.335892	0.3139688	0.857342	0.142658
500	-223.775	-217.4892	-6.285748	0.000981185	0.999019	0.009192637	1.222455	0.3022092	0.9990188	0.0009811849
510	-216.4517	-203.9664	-12.48527	0.247024	0.752976	0.007673101	1.205606	0.3623572	0.7529764	0.2470236
520	-220.6257	-208.1134	-12.51232	0.20297	0.79703	0.01038189	1.352656	0.2484401	0.7970304	0.2029696
530	-211.878	-204.2703	-7.60768	0.00799861	0.992001	0.007963689	1.044449	0.3637519	0.9920014	0.007998605
540	-221.6406	-208.6834	-12.95717	0.133926	0.866074	0.008110398	1.12418	0.4306581	0.8660738	0.1339262
550	-206.6205	-203.0434	-3.577083	3.61074e-07	1	0.006635266	1.352802	0.3737415	0.9999996	3.610738e-07
560	-203.4547	-204.275	0.8203374	3.61074e-07	1	0.007686326	1.06079	0.3807422	0.9999996	3.610738e-07
570	-204.19	-204.4106	0.2206297	3.61074e-07	1	0.01089531	1.330435	0.2340574	0.9999996	3.610738e-07
580	-215.3106	-215.365	0.05438992	3.61074e-07	1	0.00997795	1.238191	0.3172911	0.9999996	3.610738e-07
590	-209.6516	-203.002	-6.649663	3.61074e-07	1	0.01100862	1.454647	0.3737622	0.9999996	3.610738e-07
600	-214.6665	-212.9955	-1.671057	3.61074e-07	1	0.008574544	1.179718	0.4137055	0.9999996	3.610738e-07
610	-211.1851	-211.086	-0.09900459	3.61074e-07	1	0.009591531	1.007874	0.4110484	0.9999996	3.610738e-07
620	-217.4049	-217.3686	-0.03630037	3.61074e-07	1	0.008029309	1.08502	0.4007956	0.9999996	3.610738e-07
630	-203.8956	-201.0554	-2.840255	3.61074e-07	1	0.008814487	1.296799	0.3813689	0.9999996	3.610738e-07
640	-209.74	-211.7502	2.010204	3.61074e-07	1	0.01018123	1.134194	0.3042671	0.9999996	3.610738e-07
650	-199.1277	-201.2321	2.104383	3.61074e-07	1	0.009794424	1.170514	0.2835935	0.9999996	3.610738e-07
660	-206.9784	-207.6525	0.6741259	3.61074e-07	1	0.006254768	1.142222	0.3651388	0.9999996	3.610738e-07
670	-215.39	-217.3278	1.937888	3.61074e-07	1	0.0117257	1.21739	0.2536158	0.9999996	3.610738e-07
680	-216.5712	-216.7431	0.1719361	3.61074e-07	1	0.009440659	1.128222	0.3740242	0.9999996	3.610738e-07
690	-197.4577	-197.1652	-0.2925262	3.61074e-07	1	0.00856356	1.146275	0.3850273	0.9999996	3.610738e-07
700	-191.5213	-191.0188	-0.5025073	3.61074e-07	1	0.007015812	1.000247	0.4334258	0.9999996	3.610738e-07
710	-216.6348	-214.5393	-2.095462	3.61074e-07	1	0.009366112	1.239043	0.3925333	0.9999996	3.610738e-07
720	-202.6917	-204.4324	1.740699	3.61074e-07	1	0.01279902	1.052299	0.3338391	0.9999996	3.610738e-07
