Iteration	Posterior	Likelihood	Prior	clado_event_probs[1]	clado_event_probs[2]	clock_bg	er_base	ldd	p_allopatry	p_sympatry
0	-1058.441	0	-1058.441	0.15	0.85	0.01	0.01	0.1	0.85	0.15
10	-5.732942	0	-5.732942	0.310967	0.689033	0.00947637	0.9289289	0.5393324	0.6890328	0.3109672
20	-1.104708	0	-1.104708	0.000653216	0.999347	0.02415123	1.042007	0.4185022	0.9993468	0.0006532162
30	-3.916938	0	-3.916938	0.00197221	0.998028	0.1731058	0.9957738	0.965875	0.9980278	0.001972211
40	-8.523868	0	-8.523868	0.0613714	0.938629	0.6106937	0.9168274	0.6837917	0.9386286	0.06137141
50	-4.628525	0	-4.628525	0.0177038	0.982296	0.04717242	0.9568678	0.3344596	0.9822962	0.01770382
60	0.1166532	0	0.1166532	0.000163077	0.999837	0.02701136	1.023553	0.4153017	0.9998369	0.0001630772
70	-1.778476	0	-1.778476	0.000163077	0.999837	0.01055754	0.7740212	0.7636735	0.9998369	0.0001630772
80	-0.8455178	0	-0.8455178	0.00204243	0.997958	0.007799035	0.9777806	0.1169294	0.9979576	0.00204243
90	-1.42952	0	-1.42952	0.000855078	0.999145	0.02297172	1.063089	0.8132318	0.9991449	0.0008550778
100	-1.605922	0	-1.605922	0.000166248	0.999834	0.150197	0.9508058	0.7312414	0.9998338	0.0001662481
110	-6.292213	0	-6.292213	0.117032	0.882968	0.04567713	0.9581814	0.5255114	0.8829685	0.1170315
120	-9.291989	0	-9.291989	0.321706	0.678294	0.3795395	0.9707692	0.09328693	0.6782943	0.3217057
130	-9.892601	0	-9.892601	0.327071	0.672929	0.5323781	1.058492	0.02874251	0.6729294	0.3270706
